id,construct,dimension,dimension_description,indicator,text
syn_0042,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I'm not procrastinating because I'm lazy. I'm freezing because the totality of the work feels so huge that I can't even begin. It's a form of overwhelm.
syn_0043,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,The constant switching between subjects is draining. My brain never gets into a flow state because it's always context-switching to meet the next demand.
syn_0044,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I feel like I'm failing at life management because schoolwork takes up all the cognitive bandwidth. Planning a meal feels complicated when your mind is full of deadlines.
syn_0045,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"The pressure isn't about one big exam. It's the quiet, daily grind of assignment after assignment piling up. That's what wears me down."
syn_0046,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"I'm surviving, not thriving. My entire existence revolves around school to-do lists. There's no part of my day that isn't touched by the workload."
syn_0047,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,I look at my friends in other majors and they seem to have free time. My field feels like a 24/7 responsibility. The workload is a beast I can't tame.
syn_0048,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,My to-do list is longer than my arm. I've stopped writing it down because seeing it all in one place makes me feel panicky and defeated.
syn_0049,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,overwhelmed by schoolwork,"It's the feeling of being stuck in quicksand made of papers and projects. I struggle, but I just sink deeper into the pile of work."
syn_0050,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm so tired all the time. I lie in bed for hours, my mind just racing with all the equations I need to memorize for tomorrow's test. It's like my brain won't shut off, and I end up getting maybe four hours of sleep again."
syn_0051,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The essay deadline is Friday and I have two more chapters to read. I was up until 3 AM trying to finish it, and now I can barely keep my eyes open in history. This cycle of no sleep then panic is just endless."
syn_0052,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My sleep schedule is completely ruined. I keep waking up at 2 AM worried about the lab report I haven't started. By the time I fall back asleep, it's almost time to get up for school. I feel like a zombie."
syn_0053,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I don't remember the last time I slept through the night. Every time I close my eyes, I see the list of overdue assignments. I'm starting to think my bed is just another place to stress about school."
syn_0054,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The pressure to get into a good college means I cram until dawn most nights. My body is exhausted, but my mind is stuck on calculus problems. I drag myself to first period, and it's a miracle I don't fall asleep."
syn_0055,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My parents don't get it. They say just go to sleep, but if I don't finish this history project, my grade tanks. So I pull all-nighters, and the next day I'm too drained to even function in my other classes."
syn_0056,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"It's a vicious circle. I'm anxious about failing, so I study late. Then I'm too tired to absorb anything the next day, so I have to study even more. My sleep is the first thing to go, and it's never coming back."
syn_0057,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,I set my alarm for 5 AM to review for the midterm. I was so nervous I only slept three hours. Now my head is pounding and I can't focus. What's the point of the extra study if I'm too fried to use the information?
syn_0058,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"Last night I stared at the ceiling for two hours, mentally outlining my English essay. I finally gave up and got up at 4 to write it. I feel like I'm running on empty and the tank has a giant hole in it."
syn_0059,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My body is screaming for rest, but my to-do list is screaming louder. I keep sacrificing sleep to get things done, but I'm just making myself sick and stupid. I can't concentrate because I'm so sleep-deprived."
syn_0060,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm in my senior year and it feels like I haven't slept properly since freshman year. Every major assignment triggers a week of insomnia. I'm just going through the motions, too tired to even care about the 'fun' parts of school."
syn_0061,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The night before any big project is always the same: panic, then no sleep. I'll be up until sunrise putting together a presentation, then have to present it with eyes that won't stay open. It's a terrible way to learn."
syn_0062,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I think my brain has associated my pillow with stress. The moment my head hits it, I start remembering all the homework I didn't finish. I need to break the cycle, but the workload never eases up."
syn_0063,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I was up until 5 AM studying for my physics final. I know I should have started weeks ago, but between all the other classes, there just weren't enough hours. Now I'm too tired to even be nervous for the test."
syn_0064,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My friends are all out having fun on Friday nights, and I'm at home trying to cram a week's worth of reading into one night. By Saturday, I'm a zombie, sleeping until noon just to feel vaguely human again."
syn_0065,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The counselor asked if I was sleeping. I said 'some.' That's the truth. Some nights I sleep, most nights I don't because my notebook is open and the words are blurring together into nothing."
syn_0066,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I've started drinking coffee at 10 PM just to stay awake long enough to finish the chapter. It's a terrible habit, but if I don't, I'll fall behind. The irony is I'm so wired I can't sleep after, anyway."
syn_0067,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My eyes burn. My head feels heavy. I know I need to sleep more than I need to finish this problem set, but the grade is worth so much. So I push through, and my body pays for it for days after."
syn_0068,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,I had a dream I was writing my paper. I woke up and checked my phone to see if I had actually submitted it. That's when I realized my schoolwork is invading my one place for rest. Nothing is sacred anymore.
syn_0069,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"They say teens need 9 hours. I'm lucky to get 5. And it's never deep, restful sleep. It's just a light, anxious doze until the sunrise reminds me of the test I have. I'm chronically behind on rest."
syn_0070,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,Last night I literally fell asleep at my desk over my biology notes. I woke up with a stiff neck and a drool stain on my textbook. That's my life now. My bed is just a chair I occasionally pass out on.
syn_0071,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The worst part is the guilt. If I go to bed at a normal time, I feel guilty for not studying. If I study late, I feel guilty for not sleeping. I'm trapped, and my sleep schedule is the casualty."
syn_0072,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I've started taking melatonin every night just to force myself to close my eyes. But even then, my thoughts are on the Spanish verbs I need to memorize. My sleep is not my own; it belongs to the curriculum."
syn_0073,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"There's a direct link: massive project assigned = zero sleep that week. It's a predictable pattern. I know I should pace myself, but with five AP classes, pacing is a fantasy. Exhaustion is my baseline."
syn_0074,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I don't even know what a full night's rest feels like anymore. My body is used to the 4-5 hour school-night special. I'm always running on fumes, and the fumes are getting thinner."
syn_0075,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The stress is a physical weight on my chest, especially at night. I can't relax because I'm mentally running through flashcards. Sleep isn't restful; it's just a pause between study sessions."
syn_0076,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My teacher gave us a weekend assignment on Friday. That's a guarantee of a sleepless weekend. I'll be up Saturday night finishing it, then Sunday night stressing about the week ahead. No break. Ever."
syn_0077,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I used to love reading for fun. Now I only read textbooks, and even that's a struggle when I'm this tired. My lack of sleep has killed my hobbies. All I do is work and try to recover from work."
syn_0078,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The thought of going to bed is actually stressful because it means I'm admitting defeat on the work front. So I stay up, eyes gritty, re-reading the same paragraph three times because my brain is offline."
syn_0079,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My mom says I look pale. I tell her it's just the fluorescent lights at school. Really, it's the cumulative effect of months of poor sleep. I'm running on empty, and there's no gas station in sight."
syn_0080,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,I set a goal to be in bed by 11 every night. It's currently 2 AM and I'm still rewriting the conclusion of my history paper because the last one 'lacked nuance.' Nuance can wait. My need for sleep cannot.
syn_0081,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"There's no such thing as 'me time' anymore. That time is stolen by homework. The only time I have to myself is when I should be sleeping, and even then, schoolwork invades my dreams. I have no sanctuary."
syn_0082,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,I'm in a constant state of low-grade fever from exhaustion. My immune system is shot. I get a cold and it lasts a month because I won't stop pushing. Sleep is for people who don't have 4.0 GPAs to maintain.
syn_0083,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The bell for first period is my true wake-up call because my body never gets restful sleep. I stumble through morning classes in a fog, my brain still foggy from the late-night cram session."
syn_0084,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I trade sleep for grades. Every time. I look at the pile of work and think, 'I can sleep when I'm dead.' That's not a healthy mentality, but it's the one that gets me through. For now."
syn_0085,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I've become a master of the all-nighter. It's not a skill to be proud of. It's a necessary survival tactic. The next day, I pay for it with headaches and irritability, and I know I'll do it again next week."
syn_0086,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,The weekend is not for recovery. It's for catching up on the work I couldn't do during the week because I was too exhausted from lack of sleep. It's a hamster wheel with no off switch.
syn_0087,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm so tired that I've gotten good at functioning on autopilot. I can take notes without processing a word. I can walk to class without remembering the route. My body is here, but my mind is asleep at the wheel."
syn_0088,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My bed is my desk, my desk is my bed. The lines are blurred. I do my work under the covers with a flashlight because the house is quiet. There's no separation between rest and labor."
syn_0089,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I think I've forgotten how to unwind. My brain doesn't know how to power down. Even when I *try* to sleep, the to-do list runs on a loop in my head. I'm not resting; I'm just lying down with my anxiety."
syn_0090,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,The heavy eyes. The yawns that come every 30 seconds. The inability to form a coherent sentence before 10 AM. This is the price of admission. I pay it every single day.
syn_0091,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I keep making stupid mistakes on my assignments because I'm so tired. I'll write the wrong word, misread a question, forget a step. The work suffers, which means I have to redo it, which means less sleep. The loop closes."
syn_0092,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I feel like a deflated balloon. All the air has been sucked out of me by the endless demands. Sleep should fill me back up, but it's too shallow and interrupted to do its job. I'm permanently under-inflated."
syn_0093,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"My teacher said I looked 'out of it' in class. I was. I was mentally still at my desk from the night before, trying to solve that one last problem. My body was present, but my consciousness was home, working."
syn_0094,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I count the hours of sleep I get like a miser counts coins. Four here, three there. It's never enough to meet the minimum. The deficit is massive and growing, and I have no plan to repay it."
syn_0095,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The caffeine isn't working anymore. I drink a coffee and I'm still so, so tired. My body has adapted to the constant sleep deprivation and just accepts it as the new normal. That's a scary place to be."
syn_0096,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I'm not lazy. I'm exhausted. There's a difference. Laziness is a choice. This is a forced state of being. I want to sleep, but the work won't let me. So I soldier on, becoming less and less effective."
syn_0097,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The silence of the house at 2 AM is where my anxiety gets loudest. That's when I open my laptop and start the assignment I should have done weeks ago. The quiet is deafening, and work is the only noise I can add."
syn_0098,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"I have dark circles that concealer can't hide. My eyes are permanently bloodshot. I look in the mirror and see a tired, old person staring back. This isn't how high school is supposed to feel."
syn_0099,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,poor sleep due to schoolwork,"The most basic function—sleep—is completely hijacked. My own mind is the enemy, refusing to shut off. I'm at war with my thoughts, and the battlefield is my bed. I'm losing, and the collateral damage is my health."
syn_0100,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I went to the park with friends yesterday, but I just sat on the bench thinking about the history essay I have due. I couldn't even hear half of what they were saying. My mind kept going back to whether my thesis was strong enough."
syn_0101,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Sunday evening is the worst. The whole weekend was supposed to be a break, but all I did was replay my math test in my head, thinking about the questions I got wrong. I can't enjoy anything anymore."
syn_0102,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Trying to watch a movie, but I'm not really watching it. I'm mentally drafting the email I need to send to my biology teacher. It's like my brain is a school computer that never shuts down."
syn_0103,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,Family dinner was quiet because I was lost in thought about the group project presentation next week. My mom asked if I was okay three times. I just kept imagining everything that could go wrong.
syn_0104,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My 'free' time is just an extension of the school day. I lie in bed on Saturday morning and immediately start worrying about the reading I didn't finish. The list of tasks just runs in a loop.
syn_0105,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was at a concert, which I love, but I found myself checking the time, thinking 'I should be using this time to study.' Then I started stressing about the chemistry lab report. Ruined the whole night."
syn_0106,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Even when I'm doing something fun, a little voice in my head is critiquing my last assignment grade or planning my study schedule for next week. There's no true off switch."
syn_0107,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My friends were talking about plans for the summer, and all I could think about was the makeup work I have to do. How am I supposed to plan a vacation when I can't even clear my head?"
syn_0108,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I took a walk to clear my head, but I ended up walking in circles while mentally editing my English essay. The fresh air did nothing because I was still trapped in that paper."
syn_0109,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Game night with my siblings. I kept losing because I was spacing out, going over the formulas for the physics test in my head. They got frustrated, but I couldn't focus on the game."
syn_0110,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My downtime is just... mental homework. I'm not resting. I'm running through arguments for my debate class, worrying if my points are weak. It's exhausting."
syn_0111,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Woke up from a nap and my first thought wasn't 'I feel rested,' it was 'Did I forget to do the statistics problem set?' My subconscious is a nagging teacher."
syn_0112,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Tried to cook dinner, a hobby I usually love. But I kept stopping to write notes to myself about the history research paper. The recipe was forgotten. School consumed the kitchen."
syn_0113,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,Spent all afternoon 'relaxing' but it was just me worrying about the Spanish oral exam. I practiced sentences in my head the entire time. My brain never clocks out.
syn_0114,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My phone is full of photos from a trip, but I barely remember being there because I was stressed about the essays due the next week. I was physically present, mentally elsewhere."
syn_0115,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"The moment a free period ends, I start dreading the next one because it means more work to think about. There's no peace. It's a constant low-grade panic about the next task."
syn_0116,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I can't even have a normal conversation without my mind drifting to school. Someone says 'test' and I immediately start recalling definitions, even if my own test is weeks away."
syn_0117,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"My 'break' was me sitting on the couch, re-reading my history notes for the tenth time, even though there was no quiz. I just couldn't stop. It's like a compulsion."
syn_0118,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,The counselor said to find a hobby. I tried drawing. Drew a perfect schematic for my biology diagram instead. My hobbies are just school in disguise now.
syn_0119,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,Weekends are a myth. They're just unscheduled schoolwork brooding time. I wake up with a knot in my stomach about the week ahead. When does it stop?
syn_0120,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"I was at a birthday party, and I was the one staring at my phone, not for social media, but to check my school email. I missed the cake because I was waiting for a teacher's reply."
syn_0121,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,My mom told me to 'turn my brain off.' I wish I could. It's permanently set to 'school mode.' Even my dreams are about unfinished assignments.
syn_0122,School burnout,Exhaustion at school,Feelings of emotional and physical depletion caused by school demands,brooding over schoolwork during free time,"Tried meditating. The second I closed my eyes, I saw the geometry proof I was stuck on. My mind is a haunted house of late projects and low grades."
